,name,country,people,industry,web,logo,logo_url,logo_thumb,description,logo_url_local,logo_thumb_local,continent
<Syngenta>,Syngenta,Switzerland,28704,agrobusiness,http://www.syngenta.com/,,,,"Syngenta AG is a global company that produces agrochemicals and seeds and is based in Basel, Switzerland. As a biotechnology company, it conducts genomic research. It was formed in 13 November 2000 by the merger of Novartis Agribusiness and Zeneca Agrochemicals. As of 2014 Syngenta is the world’s largest crop chemical producer. As of 2009 it ranked third in seeds and biotechnology sales. It is owned by ChemChina, a Chinese state-owned enterprise.",,,Europe
<InterContinental_Hotels_Group>,InterContinental Hotels Group,United Kingdom,28589,conglomerate,http://www.ihgplc.com/,Ihg lkp vt rgb mango 200px.jpg,,,"InterContinental Hotels Group plc, informally InterContinental Hotels or IHG, is a British multinational hospitality company headquartered in Denham, Buckinghamshire, England. IHG has about 842,749 guest rooms and 5,656 hotels across nearly 100 countries. IHG owns several brands, including InterContinental, Regent Hotels, Six Senses Hotels, Kimpton Hotels and Resorts, Hualuxe, Crowne Plaza, voco Hotels, Hotel Indigo, Holiday Inn, Holiday Inn Express, Holiday Inn club vacations, avid, Candlewood Suites, EVEN Hotels, and Staybridge Suites. It is listed on the London Stock Exchange and is a constituent of the FTSE 100 Index.",,,Europe
<Richemont>,Richemont,Switzerland,28580,management,,,,,"Compagnie Financière Richemont SA, also known as Richemont, is a Switzerland-based luxury goods holding company founded in 1988 by South African businessman Johann Rupert. Through its various subsidiaries, Richemont produces and sells jewellery, watches, leather goods, pens, firearms, clothing and accessories. Richemont is publicly traded as CFR on the SIX Swiss Exchange and the JSE Securities Exchange.
The brands it owns include A. Lange & Söhne, Azzedine Alaïa, Baume & Mercier, Buccellati, Cartier, Chloé, Dunhill, IWC Schaffhausen, Giampiero Bodino, Jaeger-LeCoultre, Lancel, Montblanc, Officine Panerai, Piaget, Peter Millar, Purdey, Roger Dubuis, Vacheron Constantin, and Van Cleef & Arpels.
As of November 2012, Compagnie Financière Richemont SA is the sixth largest corporation by market capitalization in the Swiss Market Index. As of 2017, Richemont is the third-largest luxury goods company in the world after LVMH and Estée Lauder Companies.",,,Europe
<Heublein>,Heublein,United States,28500,food and beverage,,,,,"Heublein Inc. (also known as Heublein Spirits) was an American producer and distributor of alcoholic beverages and food throughout the 20th century.  During the 1960s and 1970s its stock was regarded as one of the most stable financial investments, earning it inclusion in the Nifty Fifty.",,,North America
<ERGO_Group>,ERGO Group,Germany,28487,financial services,http://www.ergo.com,,,,,,,Europe
<Volvo_Cars>,Volvo Cars,China,28485,automotive,http://www.volvocars.com,Volvo Car Iron.png,,,"Volvo Cars (Swedish: Volvo personvagnar), stylized as VOLVO, is a Swedish luxury automobile marque. It is headquartered in Torslanda in Gothenburg, Sweden. 
The company manufactures and markets sport utility vehicles (SUVs), station wagons, sedans and compact executive sedans. The Volvo Group was founded in 1927 as a subsidiary of the ball bearing manufacturer SKF. When AB Volvo (now a separate company) was introduced on the Stockholm stock exchange in 1935, SKF sold most of its shares in the company. Its cars are marketed as being safe, solidly built and reliable while emphasizing their Swedish heritage and design. 
The heavy truck and construction equipment conglomerate AB Volvo and Volvo Cars have been independent companies since AB Volvo sold Volvo Cars to the Ford Motor Company in 1999. Volvo Cars has been majority-owned since 2010 by the Geely Holding Group. Both AB Volvo and Volvo Cars share the Volvo logo, and cooperate in running the Volvo Museum. With approximately 2,300 local dealers from around 100 national sales companies worldwide, Volvo Cars' largest markets are China, the United States, Sweden and other countries in the European Union. Most of its worldwide employees are based in Sweden. Volvo is a subsidiary of the automotive company Geely.
In the United States, Volvo paid $19.6 million in fines for missing its Corporate Average Fuel Economy targets for the 2010–2014 model years. In July 2017, Volvo announced that new models launched from 2019 onward would be fully electric or hybrid-electric, heralding the end of production of nearly a century of Volvo vehicles powered solely by the internal combustion engine. Volvo, however, will continue to produce non-electric, non-hybrid cars from models introduced before that year but will discontinue them once the non-hybrid, non-electric cars receive a facelift or complete redesign. In 2019, Volvo announced that it plans to produce only electrified cars from the year 2040 onwards.",,,Asia
<Capitalia>,Capitalia,Italy,28264,financial services,http://www.capitalia.it/,,,,Capitalia was an Italian banking group headquartered in Rome. The bank was a listed company in Borsa Italiana (Milan Stock Exchange). The bank was acquired by UniCredit by issuing news shares of UniCredit for shares of Capitalia.,,,Europe
<BDO_Unibank>,BDO Unibank,Philippines,28217,finance and insurance,http://www.bdo.com.ph,,,,,,,Asia
<USAA>,USAA,United States,28200,insurance,http://www.usaa.com,,,,"The United Services Automobile Association (USAA) is a San Antonio-based Fortune 500 diversified financial services  group of companies including a Texas Department of Insurance-regulated reciprocal inter-insurance exchange and subsidiaries offering banking, investing, and insurance to people and families who serve, or served, in the United States Armed Forces. At the end of 2017, there were 12.4 million members.USAA was founded in 1922 in San Antonio by a group of 25 U.S. Army officers as a mechanism for mutual self-insurance when they were unable to secure auto insurance because of the perception that they, as military officers, were a high-risk group.
USAA has since expanded to offer banking and insurance services to past and present members of the Armed Forces, officers and enlisted, and their families. The company ranked No. 100 in the 2018 Fortune 500 list of the largest United States corporations by total revenue.",,,North America
<Uttar_Pradesh_State_Road_Transport_Corporation>,Uttar Pradesh State Road Transport Corporation,India,28170,public transport bus service,http://www.upsrtc.com/,UPSRTC Logo.jpg,https://upload.wikimedia.org/wikipedia/commons/6/66/UPSRTC_Logo.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/UPSRTC_Logo.jpg/150px-UPSRTC_Logo.jpg,"Uttar Pradesh State Road Transport Corporation (UPSRTC) (Hindi:उत्तर प्रदेश राज्य सड़क परिवहन निगम) is a public sector passenger road transport corporation based in Uttar Pradesh, India operating intrastate and interstate bus service, With 12429 buses it has the highest fleet of buses in North India. The Headquarter of the corporation is at Lucknow, Uttar Pradesh; India.",00013.jpg,00013.jpg,Asia
<Continente_(Supermarket)>,Continente,Portugal,28150,retail,http://www.continente.pt,,,,,,,Europe
<Astra_Agro_Lestari>,Astra Agro Lestari,Indonesia,28109,plantation,http://www.astra-agro.co.id,,,,"Astra Agro Lestari   (AAL) is an Indonesian palm oil company. It is a subsidiary of PT Astra International Tbk. 
At least in 2004, it controlled extensive land banks. It has two concessions on peatlands in Riau, with an estimated total area of 20,000 hectares. According to Greenpeace, 2007, it has seven concessions on peat in Central Kalimantan. Greenpeace also reported hotspots on five Astra Agro concessions in Riau, two of which were on peatlands. Joko Supriyono was or is a director at Astra Agro and secretary of a palm oil industry lobby group. He said companies had no choice, but to continue establishing plantations on restricted areas.",,,Asia
<Air_India_Limited>,Air India Limited,India,28085,aviation,http://www.airindia.com,Air India Logo.svg,https://upload.wikimedia.org/wikipedia/en/e/e3/Air_India_Logo.svg,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Air_India_Logo.svg/150px-Air_India_Logo.svg.png,"Air India Limited is a company that was formed as National Aviation Company of India Limited by the government of India to oversee the merger of Air India and Indian Airlines. The company was renamed as Air India Limited on 26 October 2010. It was incorporated on 30 March 2007 as a state-owned company based at the Air India Building in Nariman Point, Mumbai. The Company was created to facilitate the merger of the two main state-owned airlines in India: Air India, with its subsidiary Air India Express and Indian, together with its subsidiary Alliance Air (was called Air India Regional for about 6 years from 2011 to March 2017).",00108.svg,00147.png,Asia
<MedStar_Health>,MedStar Health,United States,28061,health care,http://www.medstarhealth.org/,,,,"MedStar Health is a not-for-profit healthcare organization. It operates more than 120 entities, including ten hospitals in the Baltimore–Washington metropolitan area of the United States. In 2011 it was ranked as the employer with the largest number of local employees in the region.MedStar pays approximately $111 million in payroll tax to the District of Columbia, Maryland and Virginia each year. Additionally, as of 2012, MedStar Health provided almost $312 million in charity care and community benefit on an annual basis.",,,North America
<Telekom_Malaysia>,Telekom Malaysia,Malaysia,28047,telecommunication,http://www.tm.com.my,,,,"Telekom Malaysia Berhad (TM) is a Malaysian telecommunications company founded in 1984. Beginning as the national telecommunications company for fixed line, radio and television broadcasting services, it has evolved to become the country's largest provider of broadband services, data, fixed-line, pay television and network services. TM ventured into the Long Term Evolution (LTE) space with the launch of TMgo, its first 4G offering. TM's 850 MHz service was rebranded as unifi Mobile in January 2018. 
With a total of 2.23 million broadband subscribers in 2014, unifi is Malaysia's first high-speed fibre optic broadband service.Given the rate at which Malaysians are adopting digital technology, TM represents one of the largest government-linked companies in the country, with more than 28,000 employees and a market capitalisation of more than RM25 billion.",,,Asia
<Burlington_Coat_Factory>,Burlington Coat Factory,United States,28000,retail,http://www.burlingtoncoatfactory.com/,,,,,,,North America
<Rexel>,Rexel,France,28000,distribution of electrical supplies,http://www.rexel.com,,,,Rexel is a French company which distributes electrical supplies.,,,Europe
<Godrej_Group>,Godrej Group,India,28000,conglomerate,http://www.godrej.com,,,,"Godrej Group, is an Indian conglomerate company headquartered in Mumbai, Maharashtra, India, managed and largely owned by the Godrej family. It was founded by Adi Godrej and Pirojsha Burjorji Godrej in 1897, and operates in sectors as diverse as real estate, consumer products, industrial engineering, appliances, furniture, security and agricultural products. Its subsidiaries and affiliated companies include Godrej Industries and its subsidiaries Godrej Consumer Products, Godrej Agrovet, and Godrej Properties, as well as the private holding company Godrej & Boyce Mfg. Co. Ltd.",,,Asia
<Grupo_Antolin>,Grupo Antolin,Spain,28000,automotive,http://www.grupoantolin.com,,,,"Grupo Antolín started its business as a mechanics garage in vehicle and agriculture machinery repairs in Burgos, Spain, and was run by Avelino Antolín López and his sons Avelino and José. Nowadays, Grupo Antolín is a manufacturer in the car interiors market internationally and a worldwide supplier of headliner substrates.
Grupo Antolín also develops, test, and manufactures interior parts such as Overheads & Soft Trim, Doors & Hard Trim, Lighting and Cockpits & Consoles.
On 31 August 2015, the company announced the acquisition of Magna Interiors, the interiors business of Magna International. Grupo Antolín acquired an automobile parts manufacturing plant in Nashville, Illinois, originally established in 1987 as Ligma Corporation, a joint venture between Magna International and Lignotock of West Germany.",,,Europe
<Mediterranean_Shipping_Company>,Mediterranean Shipping Company,Switzerland,28000,shipping,http://www.MSC.com,,,,"Mediterranean Shipping Company S.A. (MSC) is a Swiss international shipping line. The company operates in all major ports of the world. It is the world's second-largest shipping line in terms of container vessel capacity.As of the end of December 2014, MSC was operating 471 container vessels with an intake capacity of 2,435,000 twenty-foot equivalent units (TEU). It has a division called MSC Cruises that focuses on holiday cruises.",,,Europe
<HSBC_Bank_(Brazil)>,HSBC Bank,Brazil,28000,finance,http://www.hsbc.com.br/,,,,"HSBC Bank Brasil S.A. - Banco Múltiplo is subsidiary of Banco Bradesco in Brazil.
HSBC established Banco HSBC Bamerindus SA to take over Banco Bamerindus do Brasil S.A. in March 1997 and the bank’s name was changed to HSBC Bank Brasil S.A. - Banco Múltiplo in 1999. It was HSBC's lead regional subsidiary in South America and as such it was the regional reporting line for several other countries. It was sold to Bradesco in June 2016.The bank is among the ten largest in Brazil, with more than 1,700 branches and sub-branches in 550 Brazilian cities. The headquarters are located in Curitiba.",,,South America
<Asfour_crystal>,Asfour crystal,Egypt,28000,glass,http://www.asfourcrystal.com,,,,,,,Africa
<DTZ>,DTZ,United States,28000,commercial real estate services,http://www.dtz.com/,,,,"Debenham Thouard Zadelhoff, known as DTZ, was a European joint venture originated from UK, France and the Netherlands, operating as a commercial real estate services firm.
On September 1, 2015, Cushman & Wakefield and DTZ merged. The firm now operates under the Cushman & Wakefield brand and has a new visual identity and logo. The new Cushman & Wakefield is majority owned by an investor group led by TPG, PAG, and OTPP.",,,North America
<Aker_Solutions>,Aker Solutions,Norway,28000,oilfield services subsea,http://www.akersolutions.com,,,,"Aker Solutions ASA, an engineering company based in Oslo, provides the products, systems and services required to unlock energy from sources such as oil, gas and offshore wind. The company, founded in 1841, was known as Aker Kværner until 2008.
Aker Kværner (OSE: AKVER) was founded in 2004 from the major restructuring of a complex ""Aker Kværner"" business unit, formed originally in 2002 by the merger of Aker Maritime and Kværner Oil & Gas. On 3 April 2008, Aker Kværner was renamed Aker Solutions, partly due to the difficulty that most non-Scandinavians found in pronouncing ""Kværner"".
In 2007, the company was identified by Amnesty International as an accessory to torture and other human rights abuses for its collaboration in constructing and maintaining the US detention camp at Guantanamo Bay. Aker Kværner first broke ground at the site in 1993 and continued contract work with the US Department of Defense until 2006. The company was majority controlled by Aker ASA until 2007. Then, via a major ownership restructuring on 22 June 2007, Aker ASA completely gave up its holding in Aker Solutions, and transferred a 40% stake to Aker Holding, which in turn was owned by Aker ASA (60%), the Norwegian Ministry of Trade and Industry (30%), SAAB (7.5%) and Investor AB (2.5%).",,,Europe
<Con-way>,Con-way,United States,27900,transportation,http://www.con-way.com/,,,,"Con-way, Inc. (NYSE: CNW) was an American multinational freight transportation and logistics company headquartered in Ann Arbor, Michigan, United States. With annual revenues of $5.5 billion, Con-way was the second largest less-than-truckload transport provider in North America, with additional operations for global contract logistics, managed transportation, truckload and freight brokerage.  The company's services were sold through its primary operating companies of Con-way Freight, Con-way Truckload and Menlo Worldwide. These operating units provided less-than-truckload (LTL), full truckload and multimodal freight transportation, as well as logistics, warehousing and supply chain management services. Con-way, Inc. and its subsidiaries operated from more than 500 locations across North America and in 20 countries.
On September 9, 2015, Con-way announced it was being acquired by XPO Logistics. The sale was completed on October 30, 2015.",,,North America
<Ingram_Micro>,Ingram Micro,United States,27700,information technology,http://www.ingrammicro.com,,,,"Ingram Micro is an American distributor of information technology products based in Irvine, California, U.S. It is owned by HNA Technology Co., Ltd.
In December 2016, Tianhai Investment (now known as HNA Technology), an associate company of HNA Group, acquired Ingram Micro in an all-cash transaction with an equity value of approximately $6 billion.",,,North America
<Ajinomoto>,Ajinomoto,Japan,27518,food industry,http://www.ajinomoto.com/,,,,"Ajinomoto Co., Inc. (味の素株式会社, Ajinomoto Kabushiki gaisha) is a Japanese food and biotechnology corporation which produces seasonings, cooking oils, frozen foods, beverage, sweeteners, amino acids, and pharmaceuticals. AJI-NO-MOTO (味の素, ""essence of taste"") is the trade name for the company's original monosodium glutamate (MSG) product. The corporation's head office is located in Chūō, Tokyo. As of 2019, Ajinomoto operates in 35 countries and employs an estimated 34,504 people. Its yearly revenue in 2018 is around US$10.2 billion.",,,Asia
<Pertamina>,Pertamina,Indonesia,27429,oil and gas,http://www.pertamina.com,,,,"PT Pertamina (Persero) or Pertamina (was Perusahaan Pertambangan Minyak dan Gas Bumi Negara, lit. 'State Oil and Natural Gas Mining Company') is an Indonesian state-owned oil and natural gas corporation based in Jakarta.  It was created in August 1968 by the merger of Pertamin (established 1961) and Permina (established 1957). The firm is currently (2013) the second-largest crude oil producer in Indonesia behind the US-based Chevron Pacific Indonesia.
In 2013 for the first time, Pertamina ranked no. 122 in the Fortune Global 500 list of companies with revenues totalling to $70.9 billion, Pertamina is also the sole Indonesian company to be featured in the list.",,,Asia
<Oji_Paper_Company>,Oji Paper Company,Japan,27360,pulp and paper,http://www.ojiholdings.co.jp/english/,,,,"Oji Holdings Corporation (王子ホールディングス株式会社, Ōji Hōrudingusu Kabushiki-gaisha) is a Japanese manufacturer of paper products. In 2012 the company was the third largest company in the global forest, paper and packaging industry.
The company's stock is listed on the Tokyo Stock Exchange and the stock is constituent of the Nikkei 225 stock index.",,,Asia
<Banco_de_Crédito_del_Perú>,Banco de Crédito del Perú,Peru,27252,financial services,http://www.viabcp.com,,,,Banco de Crédito del Perú is the largest bank and the largest supplier of integrated financial services in Perú with approximately US$ 39 billion in total assets and a market share of 30.4% in total loans and 33.5% in total deposits.,,,South America
<Big_C>,Big C,Thailand,27000,retail,http://www.bigc.vn,Big_C_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/a5/Big_C_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Big_C_Logo.svg/150px-Big_C_Logo.svg.png,"Big C  (Thai: บิ๊กซี ซูเปอร์เซ็นเตอร์), is a grocery and general merchandising retailer headquartered in Bangkok, Thailand. Big C is as of 2016 Thailand's second-largest hypermarket operator after Tesco Lotus's Thai unit. It has operations in four countries, namely Thailand, Vietnam, Laos and Cambodia.
The company was founded by Central Group in 1993 and the first Big C opened on Chaengwattana Road in Bangkok in 1994, prior to the company becoming listed on the Stock Exchange of Thailand (SET) in 1995. As of 2019 Big C operates 153 hypermarkets, 63 Big C markets, and 1,018 Mini Big C stores.",00109.svg,00148.png,Asia
<BorgWarner>,BorgWarner,United States,27000,automotive industry,http://www.BorgWarner.com,,,,"BorgWarner Inc. is an American worldwide automotive industry components and parts supplier, primarily known for its powertrain products, including manual and automatic transmissions, transmission components such as electro-hydraulic control components, transmission control units, friction materials, one-way clutches, turbochargers, engine valve timing system components, and four-wheel drive system components.The company has 60 manufacturing facilities across 18 countries within North and South America, Europe, and Asia. It provides drivetrain components to all three U.S. automakers, as well as a variety of European and Asian original equipment manufacturer (OEM) customers. BorgWarner has diversified into several automotive-related markets (1999), including ignition interlock technology (ACS Corporation est.1976) for preventing impaired operation of vehicles.Historically, BorgWarner was also known for its ownership of the Norge appliance company (refrigerator/freezers ,washers and dryers), as well as York International (heating, ventilating, and air-conditioning equipment).",,,North America
<Banorte>,Banorte,Mexico,27000,finance and insurance,http://www.banorte.com,Banorte.png,https://upload.wikimedia.org/wikipedia/commons/1/13/Banorte.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Banorte.png/150px-Banorte.png,"Grupo Financiero Banorte, S.A.B. de C.V., doing business as Banorte (Banco Mercantil del Norte) and as Ixe, is a Mexican banking and financial services holding company with headquarters in Monterrey and Mexico City. It is one of the four largest commercial banks of Mexico by assets and loans, and the largest retirement fund administrator.Grupo Financiero Banorte operates its commercial bank under the brands Banorte and Ixe, offering savings accounts, credit cards, payday loans, mortgages, commercial loans and auto loans. Its performing loan portfolio was of US$35 billion in 2014. It also performs insurance, pension, leasing, and brokerage activities.
Banorte has 1,269 branches and 7,297 ATMs nationwide. It can also receive deposits through more than 5,200 commercial establishments, such as drug stores, convenience stores, and supermarkets.Grupo Financiero Banorte is listed on the Mexican Stock Exchange, on the Latibex, and on the U.S. OTC securities market through ADRs. It is a constituent of the IPC, the main benchmark index of the Mexican Stock Exchange, and of the S&P Latin America 40, which includes leading, blue chip companies from Latin America.",00040.png,00149.png,Central America
<Majid_Al_Futtaim_Group>,Majid Al Futtaim Group,United Arab Emirates,27000,leisure,http://www.majidalfuttaim.com,Majid Al Futtaim logo.svg,https://upload.wikimedia.org/wikipedia/commons/c/c8/Majid_Al_Futtaim_logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Majid_Al_Futtaim_logo.svg/150px-Majid_Al_Futtaim_logo.svg.png,"Majid Al Futtaim (Arabic: ماجد الفطيم‎) is an Emirati holding company based in Dubai, that as of 2015 owned and operated shopping malls, retail, and leisure establishments in the Middle East and North Africa, with operations in 13 countries .  The group was established by Majid Al Futtaim in 1992. Majid Al Futtaim manages three major operating subsidiaries: Majid Al Futtaim Properties, Majid Al Futtaim Retail, and Majid Al Futtaim Ventures. As of 2015 the holding company worked in 13 countries: UAE, Lebanon, Egypt, Saudi Arabia, Oman, Bahrain, Kuwait, Qatar, Jordan, Pakistan, Iraq, Armenia, and Georgia.In 2016, the group has $10.6 billion in revenues and $760 million in profits.",00110.svg,00150.png,Asia
<Solvay_S.A.>,Solvay S.A.,Belgium,26887,chemicals,http://www.solvay.com,,,,"Solvay is a Belgian chemical company founded in 1863, with its head office in Neder-Over-Heembeek, Brussels, Belgium.
In 2015, it realized €12.4 billion in revenues, €2.336 billion of REBITDA, 43% of its sales in emerging high-growth countries, 90% of its sales in markets where it is ranked among the top three manufacturers. With 145 sites, Solvay employs 30,900 people in 53 countries.",,,Europe
<Royal_BAM_Group>,Royal BAM Group,Netherlands,26840,construction,http://bam.eu/,,,,"Koninklijke BAM Groep (""Royal BAM Group"") is a Dutch construction-services business with headquarters in Bunnik, Netherlands. It is the largest construction company based on revenue in the Netherlands.",,,Europe
<Mizuho_Bank>,Mizuho Bank,Japan,26839,financial services,http://www.mizuhobank.com,,,,"Mizuho Bank, Ltd. (株式会社みずほ銀行, Kabushiki-gaisha Mizuho Ginkō) is the integrated retail and corporate banking unit of Mizuho Financial Group (TYO: 8411; NYSE: MFG), the third largest financial services companies in Japan, with total assets of approximately $1.8 trillion in 2017. Mizuho is one of the three so-called Japanese ""megabanks"" (along with MUFG and SMBC). Mizuho Bank provides financial products and services to a wide range of clients, including individuals, small and medium-sized enterprises, large corporations, financial institutions and public sector entities. Its headquarters office building is located in the Otemachi district of Chiyoda, Tokyo.
Mizuho Bank has over 505 branches and offices in Japan and in 38 other countries, and is the only bank to have branches in every prefecture in Japan.
The name “Mizuho” is an archaic Japanese term meaning “golden ears of rice,” and was used in the classical text Nihon Shoki to describe Japan.",,,Asia
<Williams-Sonoma>,Williams-Sonoma,United States,26800,retail,http://www.williams-sonomainc.com,WSI black.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/WSI_black.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/WSI_black.jpg/150px-WSI_black.jpg,,00014.jpg,00014.jpg,North America
<Sumitomo_Rubber_Industries>,Sumitomo Rubber Industries,Japan,26773,automotive,http://www.srigroup.co.jp/english/index.html,File:Sumitomo_Rubber_Industries_logo.svg,https://upload.wikimedia.org/wikipedia/commons/d/d7/Sumitomo_Rubber_Industries_logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Sumitomo_Rubber_Industries_logo.svg/150px-Sumitomo_Rubber_Industries_logo.svg.png,"Sumitomo Rubber Industries, Ltd. (住友ゴム工業株式会社, Sumitomo Gomu Kōgyo Kabushiki-gaisha) is a global tire and rubber company based in Japan.  It is part of the Sumitomo Group. The company makes a wide range of rubber based products, including automobile tires, golf balls and tennis balls. Sumitomo brands include Dunlop Tyres (in certain regions of Asia, Africa, and Latin America), Falken Tire and Ohtsu Tire.",00111.svg,00151.png,Asia
<ČEZ_Group>,ČEZ Group,Czech Republic,26647,energy,http://www.cez.cz,Čez logo.PNG,https://upload.wikimedia.org/wikipedia/commons/7/76/%C4%8Cez_logo.PNG,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/%C4%8Cez_logo.PNG/150px-%C4%8Cez_logo.PNG,"ČEZ Group (Czech: 'Skupina ČEZ' České Energetické Závody) is a conglomerate of 96 companies (including the parent company ČEZ, a.s.), 72 of them in the Czech Republic. Its  core business is the generation, distribution, trade in, and sales of electricity and heat, trade in and sales of natural gas, and coal extraction. ČEZ Group operates also in Bulgaria, Germany, Hungary, Poland, Romania, Slovakia and Turkey. ČEZ, a.s. is listed on Prague Stock Exchange and Warsaw Stock Exchange.
ČEZ is the largest utility and biggest public company in Central and Eastern Europe. Its majority shareholder is the Czech government, owning 70% of shares. Its historical political activities have come under scrutiny. According to the Economist, ""though nominally state-run, many see the power flowing the other way: from CEZ’s board into politics"". Capital Group Companies invested 2.98% into ČEZ Group. Since 2011, when Daniel Beneš have become CEO these calls faded out.As of late 2010 the EU was investigating the company's activities. Comments made by third parties under the market test have shown no need to materially change the commitments proposed by ČEZ to the European Commission in June 2012. Under the Settlement Agreement, ČEZ undertakes to sell one of five specific power plants with an installed capacity of at least 800 MW.In January 2013 Albania started a dispute by removing CEZ license to operate in Albania. In June 2014 both parties agreed to settle a dispute. Albania will pay CEZ 100 million euros by 2018 in yearly installments, an amount roughly equal to CEZ's initial investment.In February 2013 Bulgarians began to mass protests against the company and two other foreign-owned power distributors, suggesting the government to follow the case of Albania. All three were fined by Bulgarian competition watchdog. However ČEZ said it had not breached Bulgarian and European laws and would launch an appeal against the ruling in court.
Under CEO Daniel Beneš (since 2011) CEZ Group presented and implemented its new strategy based on three pillars: I. Be among the best in the operation of conventional power facilities and proactively respond to the challenges of the 21st century. II. Offer customers a wide range of products and services addressing their energy needs. III. Strengthen and consolidate ČEZ's position in Central Europe.
In 2015, ČEZ scored first in Deloitte CEE Top 500 according to market cap and forth in overall ranking  and was elected overall winner of the 2015 Euromoney Best Managed Companies Survey for Central and Eastern Europe.",00041.png,00152.png,Europe
<IHI_Corporation>,IHI Corporation,Japan,26618,heavy equipment,http://www.ihi.co.jp,,,,"IHI Corporation (株式会社IHI, Kabushiki-gaisha IHI), formerly known as Ishikawajima-Harima Heavy Industries Co., Ltd. (石川島播磨重工業株式会社, Ishikawajima Harima Jūkōgyō Kabushiki-gaisha), is a Japanese engineering company headquartered in Tokyo, Japan that produces and offers ships, space launch vehicles, aircraft engines, marine diesel engines, gas turbines, railway systems, turbochargers for automobiles, plant engineering, industrial machinery, power station boilers and other facilities, suspension bridges and other structures.IHI is listed on the Tokyo Stock Exchange Section 1.",,,Asia
<Aker_ASA>,Aker ASA,Norway,26600,holding company,http://www.akerasa.com,,,,"Aker ASA is a Norwegian holding company engaged in offshore fishing, construction and engineering. The company is listed on Oslo Stock Exchange and is controlled by Kjell Inge Røkke with 66.66% ownership through TRG Holding. The corporate headquarters are located in Oslo, Norway. The company was established in 2004. It takes its name from the former Akers mekaniske Verksted, which was closed in 1982.",,,Europe
<Çaykur>,Çaykur,Turkey,26500,tea producer,,File:Çaykur.png,https://upload.wikimedia.org/wikipedia/commons/0/0b/%C3%87aykur.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/%C3%87aykur.png/150px-%C3%87aykur.png,"Çaykur is a Turkey state owned tea producing company. The firm is a sponsor of Çaykur Rizespor football club. Their portfolio includes ice tea, green tea, organic and black tea. Çaykur has 45 tea processing factories, and one packaging factory.
On 4 February 2017, all state owned stakes were handed over to the Turkey Wealth Fund.",00042.png,00153.png,Asia
<Power_Corporation_of_Canada>,Power Corporation of Canada,Canada,26500,conglomerate,http://www.powercorporation.com,,,,"Power Corporation of Canada (French: Power Corporation du Canada) is an international management and holding company that focuses on financial services in North America, Europe and Asia. Its core holdings are leading insurance, retirement, wealth management and investment businesses, including a portfolio of alternative asset investment platforms.",,,North America
<Máquina_de_Vendas>,Máquina de Vendas,Brazil,26370,retail,http://www.maquinadevendas.com.br,,,,"Máquina de Vendas  is the one of largest Brazilian retail company together with GPA, Viavarejo, Lojas Americanas and others. The company was founded in 2010 through the merges of two retail companies, being the Belo Horizonte-based Ricardo Eletro and Salvador-based Insinuante.Currently the company has more than 490 stores in 442 cities in 20 Brazilian states. The company offers through its subsidiaries 4,5 thousand items in their stores and over 50 thousand items through their websites for electronic commerce. The company competitors includes Viavarejo, Magazine Luiza, Lojas Americanas and others.",,,South America
<Telia_Company>,Telia Company,Sweden,26166,telecommunications,http://www.teliacompany.com/,,,,"Telia Company AB is a Swedish multinational telecommunications company and mobile network operator present in Sweden, Finland, Norway, Denmark, Lithuania, Latvia and Estonia. 
It also runs an international IP backbone network which is ranked number one Dyn in the world through Telia Carrier.
The company is headquartered in Stockholm and its stock is traded on the Stockholm Stock Exchange and on the Helsinki Stock Exchange.",,,Europe
<Southern_Company>,Southern Company,United States,26112,energy,http://www.southerncompany.com,,,,"Southern Company is an American gas and electric utility holding company based in the southern United States. It is headquartered in Atlanta, Georgia, with executive offices also located in Birmingham, Alabama. The company is currently the second largest utility company in the U.S. in terms of customer base. Through its subsidiaries it serves 9 million gas and electric utility customers in 6 states. Southern Company's regulated regional electric utilities serve a 120,000-square-mile (310,000 km2) territory with 27,000 miles (43,000 km) of distribution lines.",,,North America
<Conagra_Brands>,Conagra Brands,United States,26100,food processing,http://www.conagrabrands.com/,,,,"Conagra Brands, Inc. is an American packaged foods company headquartered in Chicago, Illinois. Conagra makes and sells products under various brand names that are available in supermarkets, restaurants, and food service establishments.",,,North America
