,model,date,picture,manufacturer,class,length,height,width,picture_url,picture_thumb,description,picture_url_local,picture_thumb_local
<Jeep_Compass>,Jeep Compass,2006,'18 Jeep Compass (MIAS '17).jpg,Jeep,Compact crossover SUV,4420 mm,1650 mm,1820 mm,https://upload.wikimedia.org/wikipedia/commons/e/e8/%2718_Jeep_Compass_%28MIAS_%2717%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/%2718_Jeep_Compass_%28MIAS_%2717%29.jpg/250px-%2718_Jeep_Compass_%28MIAS_%2717%29.jpg,"The Jeep Compass is a four-door compact crossover SUV introduced for the 2007 model year, and is now in its second generation. The first generation Compass and Patriot, its rebadged variant, were among Jeep's first crossover SUVs. The second-generation Compass debuted in September 2016 in Brazil and at the Los Angeles International Auto Show in November 2016, sharing a modified platform with the Renegade.",00255.jpg,00255.jpg
<Jeep_Renegade_(BU)>,Jeep Renegade (BU),2014,"Jeep Renegade 1.6 MultiJet 2WD Longitude – Frontansicht, 9. November 2014, Düsseldorf.jpg",Jeep,Subcompact crossover SUV,166.6 in,66.5 in,71.06 in,https://upload.wikimedia.org/wikipedia/commons/2/2e/Jeep_Renegade_1.6_MultiJet_2WD_Longitude_%E2%80%93_Frontansicht%2C_9._November_2014%2C_D%C3%BCsseldorf.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Jeep_Renegade_1.6_MultiJet_2WD_Longitude_%E2%80%93_Frontansicht%2C_9._November_2014%2C_D%C3%BCsseldorf.jpg/250px-Jeep_Renegade_1.6_MultiJet_2WD_Longitude_%E2%80%93_Frontansicht%2C_9._November_2014%2C_D%C3%BCsseldorf.jpg,"The Jeep Renegade (BU/520) is a subcompact crossover SUV (mini SUV in Europe) produced by Jeep. The off-road vehicle was first shown to the public in March 2014 at the Geneva Motor Show and production started in late August of that year. Standard Renegade models come with front-wheel drive. The vehicle offers the four-wheel drive systems Active Drive I and Active Drive Low, both of which are paired with Jeep's Selec-Terrain System.",00256.jpg,00256.jpg
<Kia_Cadenza>,Kia Cadenza,2010,Kia Cadenza V6 EX 2010 (14429289169).jpg,Kia Motors,Large / Executive car,4965 mm,1475 mm,1850 mm,https://upload.wikimedia.org/wikipedia/commons/0/06/Kia_Cadenza_V6_EX_2010_%2814429289169%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Kia_Cadenza_V6_EX_2010_%2814429289169%29.jpg/250px-Kia_Cadenza_V6_EX_2010_%2814429289169%29.jpg,"The Kia Cadenza (also known in South Korea as Kia K7) is a full-size/executive sedan manufactured by Kia Motors. It was launched in 2010 to replace the Kia Opirus/Amanti.As of January 2014, it was sold in South Korea, United States, Canada, China, Colombia, Brazil, Chile, and the Middle East.",00257.jpg,00257.jpg
<Kia_Forte>,Kia Forte,2008,2010 Kia Forte SX 1 -- 08-22-2009.jpg,Kia Motors,Compact car,4350 mm,1435 mm,1780 mm,https://upload.wikimedia.org/wikipedia/commons/d/d9/2010_Kia_Forte_SX_1_--_08-22-2009.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/2010_Kia_Forte_SX_1_--_08-22-2009.jpg/250px-2010_Kia_Forte_SX_1_--_08-22-2009.jpg,"The Kia Forte, known as the K3 in South Korea, the Forte K3 or Shuma in China and Cerato in South America and Australia is a compact car produced by Kia Motors since mid-2008. It replaced the Kia Cerato/Spectra and is available in two-door coupe, four-door sedan, five-door hatchback variants. It is not available in Europe, where the similar sized Kia Ceed is offered (except for Russia and Ukraine, where the Cee'd and the Forte are both available).
In some markets, such as Costa Rica, Australia and Brazil, the Forte is marketed as Kia Cerato replacing its predecessor of the same name. In Colombia and Singapore, the name Cerato Forte was used for the second generation, while Naza Automotive Manufacturing of Malaysia has assembled the vehicle since 2009, selling it there under the name Naza Forte.",00258.jpg,00258.jpg
<Kia_K9>,Kia K9,2012,20150409 Kia The New K9 001.jpg,Kia,Full-size luxury car,5095 mm,1490 mm,1900 mm,https://upload.wikimedia.org/wikipedia/commons/a/ad/20150409_Kia_The_New_K9_001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/20150409_Kia_The_New_K9_001.jpg/250px-20150409_Kia_The_New_K9_001.jpg,"The Kia K9, marketed as the Kia K900 in the United States and Canada and as the Kia Quoris in other export markets, is a Full-size luxury sedan manufactured and marketed by Kia Motors, now in its second generation.
The K9 was launched in South Korea in May 2012, with export sales beginning in late 2012. As of June 2013, it was sold in South Korea, the Middle East, Colombia, Chile, Guatemala, Peru, Russia, the United States, and Canada. There are plans to release it in China, although Kia will not use the Quoris nameplate after a lost legal battle.The second generation Quoris was launched in 2018.",00259.jpg,00259.jpg
<Kia_Mohave>,Kia Mohave,2008,2009 Kia Borrego LX -- NHTSA.jpg,Kia Motors,Mid-size SUV,192.1 in,71.3 in,75.4 in,https://upload.wikimedia.org/wikipedia/commons/f/f1/2009_Kia_Borrego_LX_--_NHTSA.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/2009_Kia_Borrego_LX_--_NHTSA.jpg/250px-2009_Kia_Borrego_LX_--_NHTSA.jpg,"The Kia Mohave, marketed in North America and China as the Kia Borrego, is a sport utility vehicle (SUV) manufactured by the South Korean manufacturer Kia Motors. The vehicle debuted in 2008 in the Korean and U.S. markets. The Kia Borrego is named after the Anza-Borrego Desert State Park in California; Borrego means ""bighorned sheep"" which can be found in the state park.",00260.jpg,00260.jpg
<Kia_Niro>,Kia Niro,2016,2016-03-01 Geneva Motor Show 1057.JPG,Kia Motors,Subcompact crossover SUV,171.5 in,60.4 in,70.9 in,https://upload.wikimedia.org/wikipedia/commons/5/5a/2016-03-01_Geneva_Motor_Show_1057.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/2016-03-01_Geneva_Motor_Show_1057.JPG/250px-2016-03-01_Geneva_Motor_Show_1057.JPG,"The Kia Niro is a hybrid subcompact crossover manufactured by Kia Motors since 2016. A plug in version was launched in the United Kingdom in the end of 2017, and in the United States in the beginning of 2018, with an electric version launched in 2018.",00261.jpg,00261.jpg
<Kia_Opirus>,Kia Opirus,2003,Kia Amanti 2005.jpg,Avtotor]],Executive car,4980 mm,1485 mm,1850 mm,https://upload.wikimedia.org/wikipedia/commons/a/a3/Kia_Amanti_2005.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Kia_Amanti_2005.jpg/250px-Kia_Amanti_2005.jpg,"The Kia Opirus was an executive car/full-size car manufactured and marketed by Kia Motors that was launched in April 2003 and was marketed globally under various nameplates, prominently as the Amanti.  It was considered to be Kia's flagship vehicle.
As Kia's largest entry into the executive car market, the Opirus/Amanti had been marketed in a single trim level and only as a sedan. It shared some components with its now-defunct corporate cousin, the Hyundai Grandeur XG, including its 3.5 L V6 engine. For 2007, the Kia Opirus received various upgrades, including suspension and styling revisions, and the addition of the same engine as the current Hyundai Grandeur (Azera), this time being a 3.8 L V6 engine.
In the U.S., the Amanti was recognized as the ""Most Appealing Premium Midsize Car"" by J.D. Power and Associates' 2005 Automotive Performance, Execution and Layout Study.
The 2007 Amanti outscored several luxury cars in Insurance Institute for Highway Safety (IIHS) side-impact crash testing, to earn the highest rating of Good.As of December 17, 2010, the Kia website no longer listed the Amanti as a production model.",00262.jpg,00262.jpg
<Kia_Picanto>,Kia Picanto,2004,Kia Picanto EX Vorfacelift.JPG,Kia,City car,3535 mm,1480 mm,1595 mm,https://upload.wikimedia.org/wikipedia/commons/2/29/Kia_Picanto_EX_Vorfacelift.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Kia_Picanto_EX_Vorfacelift.JPG/250px-Kia_Picanto_EX_Vorfacelift.JPG,"The Kia Picanto is a city car produced by the South Korean manufacturer Kia Motors since 2004. It is also known as the Kia Morning in South Korea, Hong Kong, Taiwan (first two generations) and Chile, Kia EuroStar in Taiwan (first generation), Kia New Morning in Vietnam and the Naza Suria or Naza Picanto in Malaysia (first generation). The Picanto is primarily manufactured at the Donghee joint-venture plant in Seosan, South Korea, though some countries locally assemble complete knock-down versions of the car.",00263.jpg,00263.jpg
<Kia_Rio>,Kia Rio,2000,Kia Rio -- 07-18-2009.jpg,Kia,Subcompact car,4065 mm,1450 mm,1695 mm,https://upload.wikimedia.org/wikipedia/commons/3/3b/Kia_Rio_--_07-18-2009.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Kia_Rio_--_07-18-2009.jpg/250px-Kia_Rio_--_07-18-2009.jpg,"The Kia Rio is a subcompact car produced by the South Korean manufacturer Kia Motors since November 1999 and now in its fourth generation. Body styles have included a three and five-door hatchback and four-door sedan, equipped with inline-four gasoline and diesel engines, and front-wheel drive.
The Rio replaced the first generation Pride—a rebadged version of the Ford Festiva—and the Avella, a subcompact sold as a Ford in some markets. A second generation was introduced in 2005 in Europe and 2006 in North America, sharing its platform with the Hyundai Accent, a subcompact manufactured by its sister Hyundai Motor Company in South Korea.",00264.jpg,00264.jpg
<Kia_Soul>,Kia Soul,2008,2010 Kia Soul Base.jpg,Kia Motors,Subcompact crossover SUV (J),4140 mm,63.4 in,1800 mm,https://upload.wikimedia.org/wikipedia/commons/4/48/2010_Kia_Soul_Base.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/2010_Kia_Soul_Base.jpg/250px-2010_Kia_Soul_Base.jpg,"The Kia Soul is a subcompact crossover SUV manufactured and marketed worldwide by Kia Motors.
Designed at Kia's design center in California, the Soul debuted at the 2008 Paris Motor Show and is manufactured in South Korea. Since 2014, Kia has marketed an electric variant as the Soul EV in North and Central America as well as Europe.",00265.jpg,00265.jpg
<Kia_Telluride>,Kia Telluride,2016,Kia Telluride.jpg,Kia Motors,Full-size SUV,5000 mm,1800 mm,2010 mm,https://upload.wikimedia.org/wikipedia/commons/a/a2/Kia_Telluride.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Kia_Telluride.jpg/250px-Kia_Telluride.jpg,"The Kia Telluride is a mid-size crossover SUV, built by Kia Motors. Originally introduced as a concept car in 2016, the vehicle debuted in the spring of 2019 as a 2020 model. It is named after the town of Telluride, Colorado. The Telluride is the largest vehicle Kia has ever produced for the United States. In 2020, the Telluride was honored to become the 2020 World Car of the Year.",00266.jpg,00266.jpg
<Koenigsegg_Agera>,Koenigsegg Agera,2011,Koenigsegg Agera R.jpg,Koenigsegg,Sports car (S),4293 mm,1120 mm,1996 mm,https://upload.wikimedia.org/wikipedia/commons/5/52/Koenigsegg_Agera_R.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Koenigsegg_Agera_R.jpg/250px-Koenigsegg_Agera_R.jpg,"The Koenigsegg Agera is a mid-engine sports car produced by Swedish car manufacturer Koenigsegg. It is a successor to the CCX/CCXR. The name comes from the Swedish verb 'agera' which means ""to act"" or in imperative form ""(You) act!"".
It was named Hypercar of the Year in 2010 by Top Gear magazine. The Agera RS variant became the world's fastest production car in 2017, setting a record with a GPS-verified two-way average top speed of 447 km/h (278 mph) and a fastest straight-line speed of 458 km/h (285 mph).The Agera ceased production in July 2018 with the unveiling of the two final edition cars at the 2018 Goodwood Festival of Speed. It was succeeded by the Jesko in 2019.",00267.jpg,00267.jpg
<Koenigsegg_Regera>,Koenigsegg Regera,2016,2016-03-01 Geneva Motor Show 1333.JPG,Koenigsegg,Sports car (S),4560 mm,1100 mm,2050 mm,https://upload.wikimedia.org/wikipedia/commons/1/1c/2016-03-01_Geneva_Motor_Show_1333.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/2016-03-01_Geneva_Motor_Show_1333.JPG/250px-2016-03-01_Geneva_Motor_Show_1333.JPG,"The Koenigsegg Regera is a limited production, plug-in hybrid grand touring sports car manufactured by Swedish automotive manufacturer Koenigsegg. It was unveiled at the March 2015 Geneva Motor Show. The name Regera is a Swedish verb, meaning ""to reign"" or ""to rule."" Koenigsegg plans to produce only 80 units of the car, all of which have been sold.The Regera was developed and designed to be a more practical, luxurious, grand touring alternative to the rest of Koenigsegg's lightweight sports car lineup; initially the Agera and currently the Jesko. As a result, it is less focused on track performance and spartan weight reduction and more focused on the smooth and instant delivery of power provided by its overhauled powertrain. Koenigsegg states that the Regera will be one of the most powerful and fastest accelerating hybrid production cars produced.
The introduction of the Regera alongside the Agera RS in 2015 resulted in Koenigsegg, for the first time ever, simultaneously having two models in production. This role was passed from the Agera to the Jesko in 2019, which has since shared the production line with the Regera.",00268.jpg,00268.jpg
<LaFerrari>,LaFerrari,2013,Jay Kay LaFerrari at Goodwood 2014 009.jpg,Ferrari,Sports car (S),4702 mm,1116 mm,1992 mm,https://upload.wikimedia.org/wikipedia/commons/b/ba/Jay_Kay_LaFerrari_at_Goodwood_2014_009.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Jay_Kay_LaFerrari_at_Goodwood_2014_009.jpg/250px-Jay_Kay_LaFerrari_at_Goodwood_2014_009.jpg,"LaFerrari, project name F150 is a limited production hybrid sports car built by Italian automotive manufacturer Ferrari. LaFerrari means ""The Ferrari"" in Italian and some other Romance languages, in the sense that it is the ""definitive"" Ferrari.
As of 2020, the LaFerrari is the last Ferrari with a mid-mounted 12-cylinder engine.",00269.jpg,00269.jpg
<Lada_Granta>,Lada Granta,2011,Lada Granta 2.JPG,Lada,Subcompact car,4260 mm,1500 mm,1700 mm,https://upload.wikimedia.org/wikipedia/commons/a/a4/Lada_Granta_2.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Lada_Granta_2.JPG/250px-Lada_Granta_2.JPG,"The Lada Granta (Russian: Ла́да Гра́нта) is a subcompact car developed by the Russian automaker AvtoVAZ in collaboration with Renault, based on the Lada Kalina platform. Mass sales started in Russia on 1 December 2011.Additional production at the Izhevsk plant began in September 2012, after the old VAZ-2107 was removed from production. A 5-door hatchback variant, aimed at replacing the discontinued Lada Samara 2 series in the line-up, debuted in 2014.The Lada Granta was the best selling car model in Russia from 2013 to 2015.",00270.jpg,00270.jpg
<Lada_Kalina>,Lada Kalina,2004,Lada_Kalina_in_Geneva_2005.jpg,Lada,Supermini,3893 mm,1500 mm,1670 mm,https://upload.wikimedia.org/wikipedia/commons/b/bb/Lada_Kalina_in_Geneva_2005.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Lada_Kalina_in_Geneva_2005.jpg/250px-Lada_Kalina_in_Geneva_2005.jpg,"The Lada Kalina (Russian: Ла́да Кали́на) is a supermini car produced by the Russian manufacturer Lada (AvtoVAZ) since 18 November 2004 to July 2018. The name Kalina comes from the Russian name for a type of viburnum. It is also marketed as the Lada 117/119 in Finland.
The works on Lada Kalina started in 1993. In 1998 the projected vehicle was named ""Lada-Kalina"". Prototypes were presented in 1999 (hatchback), 2000 (sedan) and 2001 (combi).",00271.jpg,00271.jpg
<Lada_Largus>,Lada Largus,2012,Lada Largus in Tomsk.JPG,Lada,Compact MPV (M),4470 mm,1636 mm,1750 mm,https://upload.wikimedia.org/wikipedia/commons/9/93/Lada_Largus_in_Tomsk.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Lada_Largus_in_Tomsk.JPG/250px-Lada_Largus_in_Tomsk.JPG,The Lada Largus is a subcompact estate car built by the Russian manufacturer AvtoVAZ since 2012. It is essentially a rebadged version of the Renault-developed first generation Dacia Logan MCV and is produced as a joint project with Renault and Nissan.,00272.jpg,00272.jpg
<Lada_Priora>,Lada Priora,2007,Lada 2170 Priora.jpg,Lada,Compact car,4290 mm,1420 mm,1661 mm,https://upload.wikimedia.org/wikipedia/commons/2/22/Lada_2170_Priora.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Lada_2170_Priora.jpg/250px-Lada_2170_Priora.jpg,"The Lada Priora is a compact car produced by the Russian automaker AvtoVAZ since March 2007. It is largely a restyled and modernised Lada 110 and replaced it in 2009. By May 16, 2012, 590,000 Prioras had been produced. Starting model year 2016, the Priora is not available for export market and has been replaced by Lada Vesta (but is still available domestically).
July 16, 2018 in the network appeared photo of the last body LADA Priora in the welding shop of the car factory, decorated with colored balloons and covered with a poster with the inscription ""Последний!"" (""Last!""). The photo was taken on July 13 at about 2 pm (on the poster in the photo there is another date - July 11). The model will still be assembled using previously welded bodies, including the last, a few days. On July 17, 2018 AutoVAZ confirmed the cessation of Priora production in an official release .",00273.jpg,00273.jpg
<Lada_Riva>,Lada Riva,1980,Lada 2107 aka Lada Riva October 1995 1452cc.jpg,AvtoVAZ,Compact car,4120 mm,1442 mm,1617 mm,https://upload.wikimedia.org/wikipedia/commons/e/e6/Lada_2107_aka_Lada_Riva_October_1995_1452cc.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Lada_2107_aka_Lada_Riva_October_1995_1452cc.jpg/250px-Lada_2107_aka_Lada_Riva_October_1995_1452cc.jpg,"The VAZ-2105, VAZ-2104 and VAZ-2107 (collectively known as the Lada Riva in the United Kingdom and the Lada Nova in much of continental Europe) are a series of compact cars of Zhiguli brand built by Russian car manufacturer AvtoVAZ, introduced in 1980 in the Soviet Union, and progressively in other European markets through the early 1980s and sold in sedan and station wagon versions. AvtoVAZ cars are currently branded as Ladas.
Today they are generally referred to as the Lada Classic series, being derived from the original Fiat 124 platform which has been the now-iconic mainstay of the AvtoVAZ lineup since the company's foundation in the late 1960s. The production in Russia ended between 2010 and 2012, however, the Lada 2107 remained in production in Egypt until 2015.It is the third best selling automobile platform after the Volkswagen Beetle and the Ford Model T, and one of the longest production run platforms alongside the Volkswagen Beetle, the Hindustan Ambassador and the Volkswagen Type 2.",00274.jpg,00274.jpg
<Lada_Samara>,Lada Samara,1984,VAZ-2115.jpg,AvtoVAZ,Small family car,4005 mm,1340 mm,1650 mm,https://upload.wikimedia.org/wikipedia/commons/7/7a/VAZ-2115.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/VAZ-2115.jpg/250px-VAZ-2115.jpg,"The VAZ-2108, known as the Lada Samara in much of Western Europe (codenamed and later officially badged as the Lada Sputnik in its native Russia), was a series of small family cars produced by Soviet/Russian vehicle manufacturer AvtoVAZ under the Lada brand between 1984 and 2013. The model name Samara originally was used only for exported models, in the Soviet Union the same model was called Sputnik (""fellow traveler"", ""satellite"") until 1991, when the sedan version of the Samara entered in production, using the export name. It was the first front-wheel drive serial car built in the Soviet Union after the LuAZ-969V. The Samara had been modified and restyled during the years of production before it was finally discontinued in December 2013.",00275.jpg,00275.jpg
<Lada_XRAY>,Lada XRAY,2012,Lada XRAY (1).JPG,AvtoVAZ,crossover,4165 mm,1570 mm,1764 mm,https://upload.wikimedia.org/wikipedia/commons/9/9e/Lada_XRAY_%281%29.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Lada_XRAY_%281%29.JPG/250px-Lada_XRAY_%281%29.JPG,,00276.jpg,00276.jpg
<Lancia_Delta>,Lancia Delta,1979,Lancia Hyena CENTENARY.jpg,Lancia,Sports car (S),4520 mm,1430 mm,1797 mm,https://upload.wikimedia.org/wikipedia/commons/c/c8/Lancia_Hyena_CENTENARY.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Lancia_Hyena_CENTENARY.jpg/250px-Lancia_Hyena_CENTENARY.jpg,"The Lancia Delta is a small family car produced by Italian automobile manufacturer Lancia in three generations. The first generation was produced between 1979 and 1994, the second generation from 1993 to 1999, and the third generation from 2008 to 2014.
The Delta was first shown at the Frankfurt Motor Show in 1979. The Delta dominated the World Rally Championship during the late 1980s and early 1990s. The homologation requirements of Group A regulations meant marketing road-going versions of these competition cars — the Lancia Delta HF 4WD and HF Integrale. A total of 44,296 Integrales were produced.",00277.jpg,00277.jpg
<Lancia_Musa>,Lancia Musa,2004,Lancia Musa front 20080424.jpg,Lancia,Mini MPV (M),3990 mm,1660 mm,1700 mm,https://upload.wikimedia.org/wikipedia/commons/f/f2/Lancia_Musa_front_20080424.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Lancia_Musa_front_20080424.jpg/250px-Lancia_Musa_front_20080424.jpg,"The Lancia Musa (Type 350) is a front-engine, front-wheel-drive, five-door, five-passenger high roof B-segment mini MPV manufactured by FCA, and marketed by the company's Lancia subdivision for model years 2004 through to 2012. As a badge engineered variant of the Fiat Idea, the Musa also employs the Project 188 platform, originally used for the second generation Fiat Punto.",00278.jpg,00278.jpg
<Lancia_Ypsilon>,Lancia Ypsilon,1996,Lancia Y Elefantino Blu.jpg,Lancia,Supermini (B),3840 mm,1510 mm,1640 mm,https://upload.wikimedia.org/wikipedia/commons/7/78/Lancia_Y_Elefantino_Blu.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Lancia_Y_Elefantino_Blu.jpg/250px-Lancia_Y_Elefantino_Blu.jpg,"The Lancia Ypsilon is a supermini manufactured by Italian automaker Lancia now in its third generation and as of 2014 is the marque's only vehicle offered for sale. The Ypsilon was released in 1995. It is the replacement of the Y10 and is larger and more expensive. Between 1995 and 2005 Lancia produced more than 870,000 Ypsilons in the Melfi plant in the Potenza region.The third generation Ypsilon, sharing its platform with the Fiat 500, was marketed also as the Chrysler Ypsilon in the United Kingdom, Ireland and Japan. Fiat Group discontinued Chrysler in 2017, having marketed 2,000 units in 2014. It is also no longer sold in Japan.  With the discontinuation of both the Lancia Voyager and Lancia Thema branding on Chrysler-built vehicles in 2015, the Ypsilon is the sole vehicle offered by Lancia, and it is available primarily in the domestic Italian market.",00279.jpg,00279.jpg
<Land_Rover_Defender>,Land Rover Defender,1983,Defender90.JPG,British Leyland,Off-road vehicle,181.1 in,84 in,70.5 in,https://upload.wikimedia.org/wikipedia/commons/1/19/Defender90.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Defender90.JPG/250px-Defender90.JPG,"The Land Rover Defender (originally called simply Land Rover Ninety, and later called the Land Rover Ninety and Land Rover One Ten) is a British four-wheel drive off-road vehicle developed in the 1980s from the original Land Rover series which was launched at the Amsterdam Motor Show in April 1948.
The vehicle (a British equivalent of the WWII Willys Jeep) gained a worldwide reputation for ruggedness and versatility. Using a steel ladder chassis and an aluminium alloy bodywork, the Land Rover originally used detuned versions of Rover car engines.",00280.jpg,00280.jpg
<Land_Rover_Discovery_Sport>,Land Rover Discovery Sport,2014,Land Rover Discovery Sport HSE Luxury TD4 2016.jpg,Land Rover,Compact SUV,4590 mm,1724 mm,2069 mm,https://upload.wikimedia.org/wikipedia/commons/6/68/Land_Rover_Discovery_Sport_HSE_Luxury_TD4_2016.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Land_Rover_Discovery_Sport_HSE_Luxury_TD4_2016.jpg/250px-Land_Rover_Discovery_Sport_HSE_Luxury_TD4_2016.jpg,"The Land Rover Discovery Sport (internal code L550) is a compact luxury crossover SUV produced by British automotive company Jaguar Land Rover under their Land Rover marque, and since 2017 their best-selling model.Introduced in late 2014, it replaces the Freelander in a revised Land Rover range of vehicles, with Discovery joining Range Rover as a sub-brand. Contrary to its predecessor, the slightly larger car is also available in a seven seat layout.
The Discovery Sport is based on the JLR D8/LR-MS platform, customised for off-road applications, and is powered by a range of four cylinder petrol and diesel engines. It is the first Discovery introduced with a unibody structure.",00281.jpg,00281.jpg
<Land_Rover_Freelander>,Land Rover Freelander,1997,Land Rover LR2.jpg,Land Rover,Compact SUV,177.2 in,68.5 in,75.2 in,https://upload.wikimedia.org/wikipedia/commons/4/4a/Land_Rover_LR2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Land_Rover_LR2.jpg/250px-Land_Rover_LR2.jpg,"The Land Rover Freelander is a two and four-door, five passenger, all-wheel-drive compact sport utility vehicle (SUV) manufactured and marketed by Land Rover, in both two-wheel and four-wheel drive versions, across two generations from 1997 to 2014. The second generation was marketed from 2007–2014 in North America and The Middle East as the LR2 and in Europe as the Freelander 2.
Using a monocoque (unibody) structure, the Freelander was replaced by the Discovery Sport in 2015.",00282.jpg,00282.jpg
<Lexus_CT>,Lexus CT,2010,LEXUS CT200h Japan 2011 front.JPG,Lexus,Compact car (C),4350 mm,1455 mm,1765 mm,https://upload.wikimedia.org/wikipedia/commons/c/cb/LEXUS_CT200h_Japan_2011_front.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/LEXUS_CT200h_Japan_2011_front.JPG/250px-LEXUS_CT200h_Japan_2011_front.JPG,"The Lexus CT 200h (Japanese: レクサス・CT, Rekusasu CT) is a hybrid electric automobile produced by Lexus as a premium compact hatchback. The CT is a luxury hybrid based on the Toyota Prius drivetrain and Toyota MC platform chassis, and is the first luxury compact and hatchback hybrid. It is the first production model in Lexus's family to introduce the ""Spindle Grille"" design as seen in its fascia. It made its debut at the March 2010 Geneva Auto Show, six months after the unveiling of the LF-Ch concept car; it is primarily targeted at the European market but is being sold worldwide and was introduced to North American markets at the April 2010 New York International Auto Show. Lexus has trademarked the names CT 200h, CT 300h, and CT 400h. The design by Takeshi Tanabe was approved in 2008 and patented on 11 September 2009.Production began at the end of December 2010 and European sales following shortly after. Japan sales began on 12 January 2011, while US sales began in March 2011. The CT has been discontinued in the US, with the 2017 model year being the last. Sales continue in some other markets.Designated the model code A10, when fitted with ZR-series petrol engine with hybrid setup, the CT is known as the ZWA10. ""CT"" stands for ""Creative Touring"" and ""200h"" refers to the hybrid performance being equal to that of a conventional 2.0-litre engine. However, some Lexus importers use the backronymic name, ""Compact Touring"".",00283.jpg,00283.jpg
<Lexus_ES>,Lexus ES,1989,Lexus ES 250 VZV21.jpg,Lexus,Compact car,4895 mm,57.3 in,71.3 in,https://upload.wikimedia.org/wikipedia/commons/4/41/Lexus_ES_250_VZV21.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Lexus_ES_250_VZV21.jpg/250px-Lexus_ES_250_VZV21.jpg,"The Lexus ES (Japanese: レクサス・ES, Rekusasu ES) is a series of compact executive, then executive cars sold by Lexus, the luxury division of Toyota since 1989. Seven generations of the sedan have been introduced to date, each offering V6 engines and the front-engine, front-wheel-drive layout. The first five generations of the ES were built on the Toyota Camry platform, with the sixth and seventh generations more closely related to the Avalon. Manual transmissions were offered until 1993, a lower-displacement inline-four engine became an option in Asian markets in 2010, and a gasoline-electric hybrid version was introduced in 2012. The ES was Lexus' only front-wheel drive vehicle until 1998, when the related RX was introduced, and the sedan occupied the entry-level luxury car segment of the Lexus lineup in North America and other regions until the debut of the IS in 1999. The ES name stands for ""Executive Sedan"". However, some Lexus importers use the backronymic name, ""Elegant Sedan"".Introduced in 1989, the first generation ES 250 was one of two vehicles in Lexus' debut lineup, the other being the flagship LS 400. The second generation ES 300 debuted in 1991, followed by the third generation ES 300 in 1996, and the fourth generation ES 300/330 in 2001. The first- through fourth generation sedans shared body styling elements with Japan-market Toyota sedans, and a domestic market equivalent, the Toyota Windom (Japanese: トヨタ・ウィンダム, Toyota Windamu), was sold until the launch of the fifth generation ES in 2006. The word ""Windom"" is a combination of ""win"" and the suffix ""dom"" expresses a state of perpetual victory. The fifth generation ES, featuring Lexus' own L-finesse body styling, debuted in early 2006 as a 2007 model. The sixth generation ES debuted in the first half of 2012 as a 2013 model, and features increased cabin dimensions due to a longer wheelbase which is shared with the full-size XX40 series Avalon.
Lexus has positioned the ES in the comfort luxury segment, with an emphasis on interior amenities, quietness, and ride quality, in contrast with more firm-riding sport sedans. Buyers seeking more performance-focused models are targeted by the Lexus IS and rival makes, with such models offering a sportier drive with differently tuned suspensions. In Europe, Japan and other markets where it was not available until the seventh generation model, the GS sport sedans occupy the mid-size category in the Lexus lineup. In the United States, the ES has been the best-selling Lexus sedan for over fifteen years.",00284.jpg,00284.jpg
